Zulu dateTime;measure_temperature;measure_temperature;measure_temperature;
2019-06-15 07:00:00;24,454972222222366;24,39833333333365;;
2019-06-15 08:00:00;24,38127777777784;24,516708333333412;;
2019-06-15 09:00:00;24,35833333333367;24,37538888888888;;
2019-06-15 10:00:00;24,405000000000413;24,5875;;
2019-06-15 11:00:00;24,358333333333505;24,587708333333328;;
2019-06-15 12:00:00;24,311666666666927;24,601666666666674;;
2019-06-15 13:00:00;24,27627777777792;24,59979166666667;;
2019-06-15 14:00:00;24,266944444444345;24,600194444444398;;
2019-06-15 15:00:00;24,276861111111163;24,61208333333334;;
2019-06-15 16:00:00;24,322166666666675;24,587708333333328;;
2019-06-15 17:00:00;24,220472222222128;24,59833333333333;;
2019-06-15 18:00:00;24,054222222222016;24,55;;
2019-06-15 19:00:00;24,079305555555482;24,482694444444633;;
2019-06-15 20:00:00;23,810583333333607;24,48869444444469;;
2019-06-15 21:00:00;23,608736111111206;24,352055555555797;;
2019-06-15 22:00:00;23,569597222222303;24,322500000000097;;
2019-06-15 23:00:00;23,45106944444462;24,1879444444442;;
2019-06-16 00:00:00;23,42911111111127;24,13680555555541;;
2019-06-16 01:00:00;23,39108333333338;24,10413888888859;;
2019-06-16 02:00:00;23,356666666666424;24,024222222222132;;
2019-06-16 03:00:00;23,403722222222054;23,95480555555542;;
2019-06-16 04:00:00;23,368333333333467;23,931861111111004;;
2019-06-16 05:00:00;23,29852777777752;23,971722222222084;;
2019-06-16 06:00:00;23,37786111111081;23,94352777777748;;
2019-06-16 07:00:00;23,33547222222199;23,9833888888889;;
2019-06-16 08:00:00;23,333333333333204;24,025777777777524;;
2019-06-16 09:00:00;23,222888888888807;24,077305555555327;;
2019-06-16 10:00:00;23,256374999999846;24,024416666666767;;
2019-06-16 11:00:00;23,786152777777925;23,60858333333368;;
2019-06-16 12:00:00;23,36444444444441;23,482916666666767;;
2019-06-16 13:00:00;23,232222222222;23,70066666666691;;
2019-06-16 14:00:00;23,494236111111;23,714861111111308;;
2019-06-16 15:00:00;23,70022222222249;23,814805555555576;;
2019-06-16 16:00:00;23,39847222222213;23,8498055555556;;
2019-06-16 17:00:00;25,336833333333164;24,282638888888933;;
